marca,modelo,tipo,proveedor,precio_compra,precio_venta,notas
xiaomi,redmi Note 14 Normal,OLED,CentralCel,640.0,850.0,
xiaomi,redmi Note 11 Pro,OLED,CentralCel,400.0,600.0,
Xiaomi,Note 12 Pro Plus,OLED,CentralCel,430.0,640.0,
Xiaomi,Note 12 Pro Plus,LCD,CentralCel,170.0,350.0,
Tecno,Camon 20 Pro,OLED,CentralCel,410.0,620.0,
Tecno,Camon 20 Pro,LCD,CentralCel,170.0,290.0,
Xiaomi,Redmi Note 13 Pro Plus,OLED,CentralCel,440.0,750.0,
xiaomi,note 10S,OLED,CentralCel,340.0,510.0,
samsung,S20 Ultra,OLED,CentralCel,2300.0,2600.0,
Samsung,A40,OLED,CentralCel,550.0,750.0,
Samsung,Note 9,OLED,CentralCel,1780.0,2100.0,
xiaomi,redmi Note 11 Normal,OLED,CentralCel,350.0,550.0,
xiaomi,redmi Note 11 Normal,LCD,CentralCel,150.0,320.0,
Samsung,A16,OLED,CentralCel,540.0,750.0,
Samsung,A16,LCD,CentralCel,190.0,300.0,
XIAOMI,MI 11t Pro,OLED,CentralCel,420.0,750.0,
xiaomi,redmi A1,LCD,CentralCel,120.0,230.0,
Realme,GT,OLED,CentralCel,500.0,700.0,
Samsung,A54,OLED,CentralCel,340.0,490.0,
Samsung,A54,LCD,CentralCel,170.0,300.0,
Infinix,Hot 40 Lite,LCD,CentralCel,120.0,280.0,
Nokia,5.4,LCD,CentralCel,150.0,320.0,
Samsung,A32,OLED,CentralCel,270.0,430.0,
xiaomi,redmi Note 12 S,OLED,CentralCel,350.0,520.0,
xiaomi,redmi Note 12 S,LCD,CentralCel,150.0,320.0,
XIAOMI,Poco F4,OLED,CentralCel,380.0,560.0,
xiaomi,redmi Note 11 Pro,OLED,CentralCel,400.0,600.0,
xiaomi,Nredmi note 12S,OLED,CentralCel,350.0,550.0,
Xiaomi,Note 11S,OLED,CentralCel,350.0,550.0,
Infinix,Note 12,OLED,CentralCel,380.0,550.0,
Tecno,Spark 6,LCD,CentralCel,140.0,300.0,
Tecno,Pova 5,LCD,CentralCel,170.0,350.0,
Samsung,A21 S,LCD,CentralCel,110.0,230.0,
Realme,realme 8 Pro,OLED,CentralCel,490.0,720.0,
xiaomi,poco X6 Pro,OLED,CentralCel,380.0,600.0,
xiaomi,redmi Note 9 Pro,LCD,CentralCel,160.0,320.0,
xiaomi,redmi 9T,LCD,CentralCel,120.0,290.0,
Xiaomi,Poco X3 GT,LCD,CentralCel,140.0,300.0,
xiaomi,note 8 Pro,LCD,CentralCel,120.0,280.0,
xiaomi,note 13 4G,OLED,CentralCel,400.0,650.0,
xiaomi,redmi Note 11 Normal,OLED,CentralCel,350.0,550.0,
xiaomi,redmi Note 11 Normal,LCD,CentralCel,150.0,300.0,
Samsung,A32,OLED,CentralCel,420.0,620.0,
Samsung,Tab S6 lite,OLED,CentralCel,460.0,680.0,
LG,K50,LCD,CentralCel,130.0,290.0,
Honnor,Magic 5 lite,OLED,CentralCel,420.0,650.0,
Honnor,Magic 6 lite,OLED,CentralCel,430.0,680.0,
