marca,modelo,tipo,proveedor,precio_compra,precio_venta
xiaomi,redmi Note 9,LCD,OSMobil,140,290
xiaomi,redmi Note 8,LCD,OSMobil,140,290
xiaomi,redmi Note 12S,LCD,OSMobil,165,270
Infinix,Note 12,OLED,OSMobil,450,650
Tecno,Spark 6,LCD,OSMobil,140,290
Tecno,Pova 5,LCD,OSMobil,150,300
xiaomi,poco X6 Pro,OLED,OSMobil,900,1300
xiaomi,redmi Note 9 Pro,LCD,OSMobil,150,310
xiaomi,redmi 9t,LCD,OSMobil,150,310
xiaomi,note 8 Pro,LCD,OSMobil,150,310
Honor,X6 B,LCD,OSMobil,140,290
xiaomi,Redmi note 13 Normal,OLED,OSMobil,460,650
Xiaomi, mi 14t Pro,OLED,OSMobil,850,1150
xiaomi,mi 12t Pro,OLED,OSMobil,750,1050
Infinix,Hot 20S,LCD,OSMobil,160,320
Xiaomi,Mi A3,oled,OSMobil,280,430
xiaomi,poco F5 Pro,OLED,OSMobil,900,1300
Samsung,Galaxy A23,LCD,OSMobil,135,270
Infinix,50i,LCD,OSMobil,150,300
Tecno,Spark 10C,LCD,OSMobil,130,280
Infinix,Smart 7,LCD,OSMobil,130,280
Xiaomi,mi 12T Pro,OLED,OSMobil,750,1050
Xiaomi,Note 11 Pro,LCD,OSMobil,180,330
xiaomi,Note 11 Pro,OLED,OSMobil,470,670
xiaomi,Note 14 5G,LCD,OSMobil,200,400
Xiaomi,NOTE 13 Pro,OLED,OSMobil,500,700
Infinix,Note 30 Normal,OLED,OSMobil,400,630
Infinix,Note 30 Normal,LCD,OSMobil,200,380
Redmi,Note 12 Pro,OLED,OSMobil,450,620
Realme,12 5G,OLED,OSMobil,500,700
XIAOMI,MI PAD 6 ,OLED,OSMobil,750,1050
XIAOMI ,MI 13T PRO,OLED,OSMobil,850,1150
